"imp21","imp22","term"
0.804200779757972,0.84993844060583,"ns(BMI, knots = K4, Boundary.knots = BND)"
0.0252700624574776,0.0260784703394236,"Age"
0.395531214508834,0.352997625570687,"Sex"
0.0683553794344258,0.0689408365404736,"Diabetes"
0.0694558973133742,0.14638380274005,"Hypertension"
0.937657991827008,0.985839907788298,"Smoking"
0.492259316317805,0.443090411169116,"MI_history"
0.112002699469544,0.100280266221434,"LVEF"
0.00186729773173418,0.00829596040203828,"eGFR"
0.013304985277537,0.0551507587513035,"Haemoglobin"
0.567660642237054,0.663746787402992,"ACE_inhibitor_ARB"
0.49349405233576,0.494780600909061,"Beta_blockers"
0.890831030547271,0.859204436069996,"Lipid_lowering"
0.231336347415572,0.063701068463759,"Revascularisation_acute"
0.690314105028772,0.367803173464947,"Cholesterol"
0.934955670411203,0.864818338622454,"HDL"
0.57744003649959,0.758643354878168,"LDL"
0.741682460141972,0.385812316742022,"Triglycerides"
0.410908565436809,0.560633898442455,"Stroke_TIA"
0.0699244579870809,0.0525979852816071,"ICD_status"
